colId,Username,Email,Role,User Type,Created At,
c2608799-5fcd-4fae-9308-28a66da4c066,admin,,Admin,,17/12/2025 7:50:25 SA,
0b41f804-8d85-4dec-8b52-375bf0f93833,Rafael.Littel,,Staff,,17/12/2025 7:50:26 SA,
2598c23d-067f-42eb-bd6f-9d00d8066bea,Gonzalo_Bailey,,Staff,,17/12/2025 7:50:26 SA,
2c2b2145-5db9-4609-aea1-e1ef3cbdcf92,Sunny_Weber59,,Staff,,17/12/2025 7:50:26 SA,
3fcad490-f94e-4707-8b53-49d137192b12,Ila.Daniel72,,Staff,,17/12/2025 7:50:26 SA,
5ba5fe41-2922-4986-9168-eb4897cec50f,Dennis_Kilback,,Staff,,17/12/2025 7:50:26 SA,
6a15f7f1-4986-4b0b-90ed-a601e6e9aad6,Vernice93,,Staff,,17/12/2025 7:50:26 SA,
6b8dac9a-af67-466c-a613-ac7f46148e00,Celestino.Towne,,Staff,,17/12/2025 7:50:26 SA,
6f8c0f06-c6ad-46d3-9ae7-342b29b7a489,Nya.Jenkins,,Staff,,17/12/2025 7:50:26 SA,
8920b55e-b5c7-4d2b-92a3-812fbf792143,Rosalee.Senger,,Staff,,17/12/2025 7:50:26 SA,
94efcb25-00e7-4447-8f6f-173e216e1938,Name_Witting22,,Staff,,17/12/2025 7:50:26 SA,
a7b7cb84-e2a2-44c8-9828-823a165892f5,Nathaniel.Schaefer,,Staff,,17/12/2025 7:50:26 SA,
afc6b07e-5eee-4d8d-9d7d-97cf367b3cf2,Carey_Spencer17,,Staff,,17/12/2025 7:50:26 SA,
b15d2dae-2f4e-48c9-b84c-b0a88d6f18e2,Ryley37,,Staff,,17/12/2025 7:50:26 SA,
b5f3e21f-f608-4e46-9f0b-a49e054c1374,Vivianne.Orn92,,Staff,,17/12/2025 7:50:26 SA,
c25cbef7-c8f0-4168-b415-0b5f1d356f66,Jordi.Cole,,Staff,,17/12/2025 7:50:26 SA,
c32b52e4-6458-431b-8f68-801725ff41c0,Juston_Block,,Staff,,17/12/2025 7:50:26 SA,
d981a0bc-c79c-46fc-bbbb-b1bc0d7257c7,Dedric93,,Staff,,17/12/2025 7:50:26 SA,
f7e2bffe-d5d9-4d7d-8b2b-365a73db2182,Arnold_Schoen64,,Staff,,17/12/2025 7:50:26 SA,
f8eea729-4c98-4956-9471-86347230a4c0,Jada_Koch66,,Staff,,17/12/2025 7:50:26 SA,
fc2045ab-e2c3-4cd1-a3c6-382cb29d3bbe,Douglas.Will39,,Staff,,17/12/2025 7:50:26 SA,
00b268f2-8d7a-441e-9dfa-8478ab25704d,,Celia.Ward@yahoo.com,Customer,Foreign,17/12/2025 7:50:27 SA,
02658441-7689-4cd7-93e2-df9e71b8f64f,,Abigayle.Lesch@gmail.com,Customer,Foreign,17/12/2025 7:50:27 SA,
0504406b-a400-400a-ade9-790fa0a2e1b8,,Brennan_Hessel45@hotmail.com,Customer,Foreign,17/12/2025 7:50:27 SA,
